Title,CreatedAt,CreatedInCotización,Description,Destino,MaderoVende,MapsURL,Perfil,Temporada,Tipo,UsageCount,Validated
Capas finas intercambiables,"June 22, 2026 10:30 AM",,"Marzo–mayo: 5 °C a 22 °C, días limpios, baja humedad. Camisa + cardigan + campera liviana cubre el rango sin cargar peso. Temporada ideal para fotografía.",Salta-Jujuy,No,,Cualquier perfil,Otoño,Qué llevar,0,Yes
Calzado de trekking liviano,"June 22, 2026 10:30 AM",,"Caminatas a Garganta del Diablo, ruinas de Tilcara, miradores de Humahuaca. Zapatilla trail liviana o bota baja con suela trail es el calzado correcto.",Salta-Jujuy,No,,Cualquier perfil,Otoño,Qué llevar,0,Yes
Cámara + batería extra,"June 22, 2026 10:30 AM",,"Otoño en el NOA tiene la mejor luz del año (dorada, baja humedad). Los colores del cerro de 7 Colores y la Quebrada se ven al máximo. Llevar baterías de repuesto.",Salta-Jujuy,No,,Cualquier perfil,Otoño,Qué llevar,0,Yes
Capas finas + protector solar,"June 22, 2026 10:30 AM",,"Septiembre–noviembre: 8 °C a 26 °C, sol fuerte. Térmica fina + camisa + cardigan cubre amplitud. SPF 50+ y sombrero son obligatorios por radiación UV de altura.",Salta-Jujuy,No,,Cualquier perfil,Primavera,Qué llevar,0,Yes
Calzado cerrado cómodo,"June 22, 2026 10:30 AM",,"Recorridos urbanos (Salta capital, Tilcara, Humahuaca) y caminatas cortas. Zapatilla o mocasín cerrado de suela cómoda es lo apropiado.",Salta-Jujuy,No,,Cualquier perfil,Primavera,Qué llevar,0,Yes
Gafas UV polarizadas,"June 22, 2026 10:30 AM",,Sol primaveral norteño es intenso. Salinas Grandes refleja UV con fuerza. Gafas polarizadas UV400 son obligatorias para evitar fatiga ocular y dolor de cabeza.,Salta-Jujuy,No,,Cualquier perfil,Primavera,Qué llevar,0,Yes
"Cataratas lado argentino — día completo, no medio día","June 22, 2026 10:30 AM",,"El Parque Nacional Iguazú (lado argentino) tiene 3 circuitos: Inferior, Superior, Garganta del Diablo. Recorrerlos bien requiere 7–8 hs. Salir 8 a.m. con almuerzo dentro del parque.",Iguazú,Yes,,Cualquier perfil,Todo el año,Tip,1,Yes
Garganta del Diablo — primera hora o última hora,"June 22, 2026 10:30 AM",,El balcón sobre la Garganta es el punto más visitado del parque. Entre las 11 a.m. y 3 p.m. está saturado. Ir 9 a.m. o 4 p.m. mejora la experiencia 10x.,Iguazú,No,,Cualquier perfil,Todo el año,Tip,3,Yes
Lado brasilero — visita complementaria de medio día,"June 22, 2026 10:30 AM",,"El lado brasilero tiene vista panorámica de las cataratas (el lado argentino te mete dentro). 4 hs son suficientes. Ojo con visa: argentinos no requieren, otros nacionalidad sí.",Iguazú,Yes,,Cualquier perfil,Todo el año,Tip,1,Yes
"La Rueda 1975 — clásico iguazuense, río Iguazú","June 22, 2026 10:30 AM",,"Av. Córdoba 28. Especialidad pescados de río (surubí, dorado, pacú) preparados a la parrilla o al horno. Ambiente familiar, terraza con vista. Una institución desde 1975.",Iguazú,No,https://www.google.com/maps/search/?api=1&query=La+Rueda+1975+Puerto+Iguazu+Argentina,"Cualquier perfil, Familia con niños",Todo el año,Gastronomía,3,Yes
Aqva — alta cocina iberoamericana con producto regional,"June 22, 2026 10:30 AM",,"Hotel Loi Suites Iguazú. Menú degustación con palmitos, mandioca, frutas tropicales, pescados de río. Maridaje con vinos argentinos. Reserva indispensable.",Iguazú,No,https://www.google.com/maps/search/?api=1&query=Aqva+Restaurant+Loi+Suites+Iguazu,"Lujo, Pareja",Todo el año,Gastronomía,3,Yes
Garganta del Diablo — buffet con vista al río,"June 22, 2026 10:30 AM",,Dentro del Parque Nacional Iguazú. Único restaurante con vista directa al río Iguazú y la selva. Buffet con cocina argentina y brasilera. Ideal para almuerzo durante el día de cataratas.,Iguazú,No,https://www.google.com/maps/search/?api=1&query=Restaurante+Garganta+del+Diablo+Parque+Nacional+Iguazu+Argentina,"Cualquier perfil, Familia con niños",Todo el año,Gastronomía,3,Yes
Ropa quick-dry + camisa de manga larga,"June 22, 2026 10:30 AM",,Verano en Iguazú: 25 °C a 38 °C con 80%+ humedad y mosquitos. Camisa de manga larga ligera (UV + protección anti-mosquito) y short o pantalón quick-dry son ideales.,Iguazú,No,,Cualquier perfil,Verano,Qué llevar,0,Yes
Repelente de mosquitos potente,"June 22, 2026 10:30 AM",,"La selva subtropical tiene mosquitos agresivos, especialmente al atardecer. Repelente con DEET 25%+ o picaridina aplicado cada 4 hs es obligatorio.",Iguazú,No,,Cualquier perfil,Verano,Qué llevar,0,Yes
Calzado quick-dry + funda impermeable,"June 22, 2026 10:30 AM",,"Circuito Inferior se moja con spray de cataratas. Sandalias trekking (Teva, Keen) o zapatillas quick-dry son ideales. Llevar bolsa impermeable para celular y cámara.",Iguazú,No,,Cualquier perfil,Verano,Qué llevar,0,Yes
Ropa ligera + capa fina para la noche,"June 22, 2026 10:30 AM",,Invierno en Iguazú: 12 °C noche a 24 °C mediodía. Pantalón ligero + remera + cardigan o campera fina son suficientes. Mucho más amable que el verano sofocante.,Iguazú,No,,Cualquier perfil,Invierno,Qué llevar,0,Yes
Calzado cerrado con suela trail,"June 22, 2026 10:30 AM",,"Senderos del parque tienen tramos resbaladizos y escaleras de metal. Zapatilla o bota baja con suela trail evita resbalones, especialmente en Garganta del Diablo.",Iguazú,No,,Cualquier perfil,Invierno,Qué llevar,0,Yes
Repelente — mosquitos también en invierno,"June 22, 2026 10:31 AM",,"Aunque menos agresivos que en verano, los mosquitos persisten todo el año en zona selvática. Repelente DEET 15%+ aplicado al amanecer y atardecer.",Iguazú,No,,Cualquier perfil,Invierno,Qué llevar,0,Yes
Ropa fresca + capa intermedia,"June 22, 2026 10:31 AM",,"Marzo–mayo: 18 °C a 28 °C, humedad alta. Camisa de manga larga + pantalón ligero + capa fina para la noche cubre el rango. Lluvias breves frecuentes.",Iguazú,No,,Cualquier perfil,Otoño,Qué llevar,0,Yes
Capa impermeable o poncho,"June 22, 2026 10:31 AM",,Otoño en Iguazú tiene tormentas breves pero intensas. Campera impermeable liviana o poncho de emergencia en mochila evita interrumpir excursión.,Iguazú,No,,Cualquier perfil,Otoño,Qué llevar,0,Yes
Calzado quick-dry + medias técnicas,"June 22, 2026 10:31 AM",,Mezcla de lluvia y sol mantiene senderos húmedos. Calzado quick-dry y medias merino o sintéticas (no algodón) mantienen los pies cómodos en jornadas largas.,Iguazú,No,,Cualquier perfil,Otoño,Qué llevar,0,Yes
Ropa fresca + protector solar,"June 22, 2026 10:31 AM",,"Septiembre–noviembre: 16 °C a 30 °C, sol fuerte, floración intensa. Camisa larga ligera + pantalón corto o liviano + SPF 50+ son lo correcto.",Iguazú,No,,Cualquier perfil,Primavera,Qué llevar,0,Yes
Repelente fuerte + ropa larga al atardecer,"June 22, 2026 10:31 AM",,Primavera es alta para mosquitos por floración y lluvias. Repelente DEET 25%+ + camisa y pantalón largos al atardecer (de 17 a 19 hs son los peores).,Iguazú,No,,Cualquier perfil,Primavera,Qué llevar,1,Yes
Cámara con buena óptica — flora en flor,"June 22, 2026 10:31 AM",,"Selva subtropical en flor: orquídeas, helechos, mariposas. Lente con macro o teléfono con modo cercano saca el máximo. Llevar batería extra (humedad descarga rápido).",Iguazú,No,,Cualquier perfil,Primavera,Qué llevar,0,Yes
Capas livianas + corta-viento para amanecer,"June 22, 2026 11:33 AM",COT-0002 (https://app.notion.com/p/COT-0002-387d7e4f683b81bcb3edd001c9a018be?pvs=21),"Agosto en Iguazú: 10°C de madrugada, 22-25°C al medioda. Llevar remera + camisa manga larga + un corta-viento liviano. La diferencia térmica entre las primeras horas y el medioda es alta, pero el aire es seco.",Iguazú,No,,"Cualquier perfil, Primer viaje",Invierno,Qué llevar,2,No
Calzado cerrado cómodo para senderos secos,"June 22, 2026 11:33 AM",COT-0002 (https://app.notion.com/p/COT-0002-387d7e4f683b81bcb3edd001c9a018be?pvs=21),En invierno los senderos del Parque Nacional están secos pero exigen 7-8 hs caminando. Zapatillas de trekking o running con suela trail bastan. Evitar sandalias o calzado nuevo. Llevar medias técnicas (no de algodón).,Iguazú,No,,"Cualquier perfil, Primer viaje",Invierno,Qué llevar,2,No
Protector solar + gorra + lentes UV,"June 22, 2026 11:33 AM",COT-0002 (https://app.notion.com/p/COT-0002-387d7e4f683b81bcb3edd001c9a018be?pvs=21),"El sol subtropical de Iguazú es fuerte incluso en invierno con días despejados. Protector solar SPF 50+, gorra/sombrero, lentes UV y botella de agua reutilizable son indispensables para los circuitos largos del PN.",Iguazú,No,,"Cualquier perfil, Primer viaje","Invierno, Todo el año",Qué llevar,3,No
Tren Ecológico de la Selva — incluido en la entrada,"June 22, 2026 2:03 PM",COT-0002 (https://app.notion.com/p/COT-0002-387d7e4f683b81bcb3edd001c9a018be?pvs=21),"El Tren Ecológico de la Selva (Estación Central → Cataratas → Garganta del Diablo) está incluido en la entrada al PN Iguazú. Ahorra 30 min de caminata para llegar a la Garganta. Frecuencia cada 30 min, 8:30 a 16:30. Última salida desde Garganta: 16:30.",Iguazú,No,,"Cualquier perfil, Primer viaje",Todo el año,Tip,2,No
Cambio de moneda en la frontera ARS/BRL/PYG,"June 22, 2026 2:03 PM",COT-0002 (https://app.notion.com/p/COT-0002-387d7e4f683b81bcb3edd001c9a018be?pvs=21),El lado brasilero requiere BRL para compras / comida. Llevar pesos argentinos o USD y cambiar al BRL al cruzar (mejor TC en Foz do Iguaçu que en Puerto Iguazú). Tarjeta funciona pero con recargo. Tip: comer en el lado argentino si querés ahorrar.,Iguazú,No,,"Cualquier perfil, Primer viaje",Todo el año,Tip,2,No
Calzado cómodo + ropa quick-dry para primavera,"June 22, 2026 8:00 PM",,"Octubre en Iguazú: 18-28°C, humedad media-alta, lluvias breves probables. Zapatillas de trekking quick-dry, remera + camisa manga larga + corta-viento liviano. Llevar muda extra si vas a circuitos largos con spray de cataratas.",Iguazú,No,,"Cualquier perfil, Primer viaje",Primavera,Qué llevar,1,No
Atardecer en Cerro Campanario — imperdible 360°,"June 23, 2026 6:48 PM",,Top 10 mirador del mundo según National Geographic. Aerosilla de 7 min hasta la cima. En primavera el atardecer es a las 20:00 hs — ir 19:00 para ver luz dorada sobre el Nahuel Huapi y el Catedral. CTA pareja claro.,Bariloche,Yes,,"Cualquier perfil, Pareja",Todo el año,Tip,1,No
Capa térmica liviana + corta-viento,"June 23, 2026 6:48 PM",,"Noviembre en Bariloche: madrugadas 3°C, tardes hasta 18°C, viento patagónico constante. Llevar primera capa térmica fina + remera + camisa manga larga + corta-viento ligero. Permite ajustar entre el desayuno frío y las caminatas vespertinas.",Bariloche,No,,"Cualquier perfil, Pareja",Primavera,Qué llevar,1,No
Calzado de trekking liviano para senderos,"June 23, 2026 6:48 PM",,"Tronador, Cerro Catedral base y Circuito Chico tienen senderos cortos que justifican calzado de trekking liviano (no botas pesadas). Suela trail para piedras húmedas y rocas volcánicas. Medias merino o sintéticas para evitar ampollas en circuitos largos.",Bariloche,No,,"Cualquier perfil, Pareja","Primavera, Verano",Qué llevar,1,No
Alquilar auto en primavera — más libertad y mejor TC,"June 23, 2026 6:48 PM",,"Primavera es la mejor temporada para alquilar auto en Bariloche: rutas secas, días largos, sin congestionamiento de pico turismo. Permite extender Circuito Chico, llegar a El Bolsón o Villa La Angostura, parar en miradores. Reservar con anticipación (Hertz, Avis o locales).",Bariloche,No,,"Cualquier perfil, Pareja",Primavera,Tip,1,No
Reservar restaurantes premium con 3-5 días — primavera repunta,"June 23, 2026 6:48 PM",,"Noviembre marca el inicio de la temporada alta de pareja en Bariloche. Cassis, Butterfly, Familia Weiss, Alto El Fuego se llenan con 3–5 días de antelación especialmente fines de semana. Reservar al llegar asegura la mesa con la mejor vista al lago.",Bariloche,No,,"Lujo, Pareja","Primavera, Verano",Tip,1,No
Protector solar SPF 50+ · lentes UV · gorra,"June 23, 2026 6:48 PM",,"Altura + lago + viento amplifican UV en Bariloche. Protector solar SPF 50+ resistente al agua (spray cataratas, navegación Isla Victoria), lentes UV400 para la nieve persistente en el Catedral y gorra para senderos sin sombra. Reaplicar cada 2 hs en agua.",Bariloche,No,,"Cualquier perfil, Pareja","Primavera, Todo el año, Verano",Qué llevar,1,No
Niños y nieve — alquilar equipo ski en Bariloche centro,"June 24, 2026 12:39 PM",,"Alquilar equipo de ski para niños es mucho más barato en el centro de Bariloche que en la base del Catedral (gap 30-40%). Locales recomendados: Martin Pescador, Patagonia Rental, Baruzzi. Llevar el equipo en remis al cerro o usar transfer. Reservar talles con 2 días antes.",Bariloche,No,,"Cualquier perfil, Familia con niños",Invierno,Tip,1,No
